2026-04-24 19:40:34,725 [INFO] Detection started. Press 'q' to quit.
2026-04-24 19:40:39,830 [INFO] Frame 00115 | Face @ (252,230) size=222x222 | Eyes detected: 1
2026-04-24 19:40:39,874 [INFO] Frame 00116 | Face @ (252,230) size=222x222 | Eyes detected: 1
2026-04-24 19:40:39,916 [INFO] Frame 00117 | Face @ (259,231) size=218x218 | Eyes detected: 1
2026-04-24 19:40:39,966 [INFO] Frame 00118 | Face @ (259,231) size=218x218 | Eyes detected: 1
2026-04-24 19:40:39,996 [INFO] Frame 00119 | Face @ (265,228) size=220x220 | Eyes detected: 1
2026-04-24 19:40:40,024 [INFO] Frame 00120 | Face @ (265,228) size=220x220 | Eyes detected: 1
2026-04-24 19:40:40,058 [INFO] Frame 00121 | Face @ (266,231) size=224x224 | Eyes detected: 1
2026-04-24 19:40:40,085 [INFO] Frame 00122 | Face @ (266,231) size=224x224 | Eyes detected: 1
2026-04-24 19:40:40,108 [INFO] Frame 00123 | Face @ (267,237) size=221x221 | Eyes detected: 1
2026-04-24 19:40:40,152 [INFO] Frame 00124 | Face @ (267,237) size=221x221 | Eyes detected: 1
2026-04-24 19:40:40,169 [INFO] Frame 00125 | Face @ (263,236) size=225x225 | Eyes detected: 1
2026-04-24 19:40:40,208 [INFO] Frame 00126 | Face @ (263,236) size=225x225 | Eyes detected: 1
2026-04-24 19:40:40,241 [INFO] Frame 00127 | Face @ (267,247) size=218x218 | Eyes detected: 0
2026-04-24 19:40:40,274 [INFO] Frame 00128 | Face @ (267,247) size=218x218 | Eyes detected: 0
2026-04-24 19:40:40,308 [INFO] Frame 00129 | Face @ (268,262) size=204x204 | Eyes detected: 0
2026-04-24 19:40:40,344 [INFO] Frame 00130 | Face @ (268,262) size=204x204 | Eyes detected: 0
2026-04-24 19:40:40,383 [INFO] Frame 00131 | Face @ (264,266) size=202x202 | Eyes detected: 1
2026-04-24 19:40:40,441 [INFO] Frame 00132 | Face @ (264,266) size=202x202 | Eyes detected: 1
2026-04-24 19:40:40,483 [INFO] Frame 00133 | Face @ (258,259) size=208x208 | Eyes detected: 1
2026-04-24 19:40:40,524 [INFO] Frame 00134 | Face @ (258,259) size=208x208 | Eyes detected: 1
2026-04-24 19:40:40,569 [INFO] Frame 00135 | Face @ (262,264) size=205x205 | Eyes detected: 1
2026-04-24 19:40:40,631 [INFO] Frame 00136 | Face @ (261,263) size=206x206 | Eyes detected: 1
2026-04-24 19:40:40,675 [INFO] Frame 00137 | Face @ (261,263) size=206x206 | Eyes detected: 1
2026-04-24 19:40:40,724 [INFO] Frame 00138 | Face @ (260,264) size=205x205 | Eyes detected: 1
2026-04-24 19:40:40,766 [INFO] Frame 00139 | Face @ (260,264) size=205x205 | Eyes detected: 1
2026-04-24 19:40:40,800 [INFO] Frame 00140 | Face @ (263,266) size=203x203 | Eyes detected: 1
2026-04-24 19:40:40,832 [INFO] Frame 00141 | Face @ (263,266) size=203x203 | Eyes detected: 1
2026-04-24 19:40:40,865 [INFO] Frame 00142 | Face @ (263,265) size=205x205 | Eyes detected: 1
2026-04-24 19:40:40,913 [INFO] Frame 00143 | Face @ (263,265) size=205x205 | Eyes detected: 1
2026-04-24 19:40:40,959 [INFO] Frame 00144 | Face @ (263,265) size=205x205 | Eyes detected: 1
2026-04-24 19:40:41,007 [INFO] Frame 00145 | Face @ (262,265) size=205x205 | Eyes detected: 1
2026-04-24 19:40:41,041 [INFO] Frame 00146 | Face @ (261,263) size=207x207 | Eyes detected: 1
2026-04-24 19:40:41,095 [INFO] Frame 00147 | Face @ (262,265) size=204x204 | Eyes detected: 1
2026-04-24 19:40:41,141 [INFO] Frame 00148 | Face @ (262,265) size=204x204 | Eyes detected: 1
